restau_ID,restaurant,url,nombre_avis,score_general
1,Il Etait Un Square,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6575305-Reviews-Il_Etait_Un_Square-Paris_Ile_de_France.html,3434,5.0
2,Boutary,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9783452-Reviews-Boutary-Paris_Ile_de_France.html,1161,5.0
3,Bistrot Instinct,https://www.tripadvisor.fr/Restaurant_Review-g187147-d16846235-Reviews-Bistrot_Instinct-Paris_Ile_de_France.html,162,5.0
4,Pardi,https://www.tripadvisor.fr/Restaurant_Review-g187147-d16883709-Reviews-Pardi-Paris_Ile_de_France.html,114,5.0
5,La Table de Colette,https://www.tripadvisor.fr/Restaurant_Review-g187147-d19318900-Reviews-La_Table_de_Colette-Paris_Ile_de_France.html,221,5.0
6,Pur' - Jean-François Rouquette,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719852-Reviews-Pur_Jean_Francois_Rouquette-Paris_Ile_de_France.html,1153,5.0
7,Epicure,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html,2839,5.0
8,La MiN,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15318758-Reviews-La_MiN-Paris_Ile_de_France.html,506,5.0
9,La Crêperie,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3736322-Reviews-La_Creperie-Paris_Ile_de_France.html,184,5.0
10,FrenchyTaste par Jean-Yves Le Chef,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11752078-Reviews-Jean_Yves_of_Chef_Jean_Yves_Table-Paris_Ile_de_France.html,220,5.0
11,O’bergine,https://www.tripadvisor.fr/Restaurant_Review-g187147-d16667650-Reviews-O_Bergine-Paris_Ile_de_France.html,94,5.0
12,Signature,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13307509-Reviews-Signature_Montmartre-Paris_Ile_de_France.html,351,5.0
13,Chez Pitou,https://www.tripadvisor.fr/Restaurant_Review-g187147-d17816259-Reviews-Chez_Pitou-Paris_Ile_de_France.html,119,5.0
14,Pianovins,https://www.tripadvisor.fr/Restaurant_Review-g187147-d14066702-Reviews-Pianovins-Paris_Ile_de_France.html,132,5.0
15,Petit Boutary,https://www.tripadvisor.fr/Restaurant_Review-g187147-d14643721-Reviews-Petit_Boutary-Paris_Ile_de_France.html,390,5.0
16,Le Faham by Kelly Rangama,https://www.tripadvisor.fr/Restaurant_Review-g187147-d17568296-Reviews-Le_Faham_by_Kelly_Rangama-Paris_Ile_de_France.html,98,5.0
17,ASPIC,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9806534-Reviews-ASPIC-Paris_Ile_de_France.html,974,5.0
18,Kei Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2105853-Reviews-Kei_Restaurant-Paris_Ile_de_France.html,1012,5.0
19,Can Alegria Paris,https://www.tripadvisor.fr/Restaurant_Review-g187147-d14039269-Reviews-Can_Alegria_Paris-Paris_Ile_de_France.html,770,5.0
20,JJ Beaumarchais,https://www.tripadvisor.fr/Restaurant_Review-g187147-d17391930-Reviews-JJ_Beaumarchais-Paris_Ile_de_France.html,158,5.0
21,Le 114 Faubourg,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2013853-Reviews-Le_114_Faubourg-Paris_Ile_de_France.html,1742,4.5
22,La Cantine de Mémé,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13520251-Reviews-La_Cantine_de_Meme-Paris_Ile_de_France.html,111,5.0
23,Hebe,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15147797-Reviews-Hebe-Paris_Ile_de_France.html,920,5.0
24,Alliance,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9467731-Reviews-Alliance-Paris_Ile_de_France.html,405,5.0
25,Les Bariolés de Maud,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9759177-Reviews-Les_Barioles_de_Maud-Paris_Ile_de_France.html,428,4.5
26,Sacrée fleur,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6633751-Reviews-Sacree_fleur-Paris_Ile_de_France.html,3481,4.5
27,Bus Toqué,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13189828-Reviews-Bus_Toque-Paris_Ile_de_France.html,207,5.0
28,L'Archeste,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10804934-Reviews-L_Archeste-Paris_Ile_de_France.html,169,5.0
29,Bistro V,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10028087-Reviews-Bistro_V-Paris_Ile_de_France.html,887,4.5
30,Savarin la Table,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12396524-Reviews-Savarin_la_Table-Paris_Ile_de_France.html,141,5.0
31,Aux Enfants Gates,https://www.tripadvisor.fr/Restaurant_Review-g187147-d4783611-Reviews-Aux_Enfants_Gates-Paris_Ile_de_France.html,443,4.5
