restau_ID;Titre;Note;Commentaire;DateVisite;restaurant
1;As everyone writes : excellent;5.0;I don't have much to say about this restaurant that hasn't been said here before. Everybody on this website writes how amazing it is, and you can indeed find really excellent burgers here, with delicate flavours that you usually do not find in a burger. I took the chocolate mousse for dessert, which was fine. Very quick and friendly, attentive service. Not sure this is the best restaurant in Paris, despite its ranking, but this is certainly one of the best for this range of prices, and unquestionably the best burger I've ever eaten in Paris. Therefore I highly recommend it.;sept-20;Il Etait Un Square
1;The best burger!!;5.0;Me and my partner found this restaurant after search on tripadvisor. It met our expectations and more!! We reserved a table and were greeted by such lovely and attentive members of staff. The food came out fast after being seated. This was perhaps the best burger we have both eaten, everything was cooked to perfection and the homemade mayonnaise was delicious. Would definitely recommend to anyone who was visiting Paris!!;août-20;Il Etait Un Square
1;Delicious Burger;5.0;We found this restaurant at trip Advisor. Burger was absolutely delicious, one of the best I’ve had. Very recommended;oct-19;Il Etait Un Square
1;Neighbourhood gem;5.0;We found this restaurant in an effort to get to know the Buttes aux Cailles neighbourhood better on our short weekend trip away post lockdown. And it was a great find! The restaurant is known for unique burgers and tartars. The food is delicious, the pitchers of wine are very well chosen, and the server really enjoys his job. The tiramisu was amazing!;août-20;Il Etait Un Square
1;Burger was absolutely delicious, but;4.0;Burger was absolutely delicious, one of the best I’ve had, however it felt very rushed, we arrived just as they opened and asked for a table for 2, we were asked had we booked, we said we hadn’t, the waiter then proceeded to look round the empty room full of empty tables to try and find us one, he said it should be ok. They also have a great offer on the website and in the window, burger, fries, drink and desert for €20, this however is take out only. As previously mentioned can not fault the burger and it is worthy of 5stars but not the overall experience.;août-20;Il Etait Un Square
1;A really great burger, not;5.0;A really great burger, not too fatty either. The service was very attentive. A bit far maybe but definitely worth it. I’ll be back.;juil-20;Il Etait Un Square
1;Best in paris;5.0;Good servic. Good food. Nice place. Me and my friend Very proudly.price is normalfor paris. Highly recommended.;juil-20;Il Etait Un Square
1;Delicious, filling and great service;5.0;I've known about this restaurant for ages, especially as it is so highly rated on trip advisor, but only found it recently.Originally we had planned to get take away, but since it was quiet we decided to eat in. We ate on the terrace because indoor eating was still forbidden at the time, there was a bit of wind, but we managed. Service was wonderful, the owner or the manager at least was friendly and helpful and stayed chatting with us. He ensured we had a great meal. Meanwhile the burgers are excellent, the quality of the ingredients is really there and they were prepared perfectly. We tried the cheddar burger and the blue burger and both were just want we wanted. This restaurant lives up to the hype.;juin-20;Il Etait Un Square
1;Excellent food;5.0;I love burger and I think, this is the best burger that i have eaten. The services is good. , I recommended going this place.;janv-20;Il Etait Un Square
1;Best Burger of my trip;5.0;Very good burger and Good Service.  Typical style parisian restaurant. The price is normal for Paris.;janv-20;Il Etait Un Square
