restau_ID;Titre;Note;Commentaire;DateVisite;restaurant
1;Burger de qualité;5.0;4 personnes, 4hamburgers, tous d'accord pour dire que la cuisson et la qualité de la viande étaient incroyables, ce qui n'est pas toujours le cas dans les autres restaurants de burger. Tous les produits sont maisons est frais, ça se ressent, superbe adresse.Signé les Normands;sept-20;Il Etait Un Square
1;🍔;4.0;Attirés par les avis plus que positifs, nous sommes venus un soir.  Accueil sympathique et le service rapide.  Burgers bon mais rien d'exceptionnel..  Ça manquait de goût, pas assez de cheddar.. Burger entre 15 et 16€.;sept-20;Il Etait Un Square
1;Délicieux!;5.0;Agréable moment passé dans ce restaurant. Très bel accueil. Le burger était très bon!  Je recommande vivement.;sept-20;Il Etait Un Square
1;Excellent;5.0;L'accueil, le service, la rapidité, et la qualité des produits servis sont excellents. Très bonne adresse !;sept-20;Il Etait Un Square
1;Coup de coeur !;5.0;Une magnifique découverte ! Un régale pour les papilles et un accueil sympathique, que demander de plus? Les burgers sont incomparables... De passage à Paris, soyez sûrs que nous reviendrons lors de nos prochaines escapades dans la capitale!  Les arrageois 😉;sept-20;Il Etait Un Square
1;La cathédrale des burgers à Paris;5.0;Très bons burgers dans un quartier plutôt calme et agréable. Service rapide même sans réservation (en semaine). Les serveurs étaient très sympathiques.;sept-20;Il Etait Un Square
1;Excellent;5.0;Arrivée à 21h00 sans réserver,nous avons été très bien accueilli,Le patron nous a bien détaillé les spécialités qu'il font,Nous avons pris des burgers,très bon,Ketchup français excellent autant que la maillonaise maison,Pour 3 avec l'apéritif et boissons +1 dessert nous en avons eu pour moins de 75 euros Très bonne ambiance Nous reviendrons Bonne continuation de la part du sud;sept-20;Il Etait Un Square
1;Il était un square ...;5.0;Très bon endroit accueil chaleureux et conviviale à goûter impérativement le hamburger du mois (buns a la sèche noir et son saumon avocat) a goûter aussi le tartare de saumon et le tartare de gascogne au fois gras ...Une petite tuerie dans paris ...Adresse à garder !;sept-20;Il Etait Un Square
1;Bonté divine !;5.0;Bonté divine que c'etait divin ! Accueil divinement chaleureux, Ambiance Bonnapartesque mais laissez moi vous parlez de la chose la plus importante :  - Les Burgers. Ecoutez je ne vais pas y allez par quarte chemin : tout simplement DI - VIN !! Le burger du mois etait extra ! Quand aux burger les plus classique ils etaient tous magique. (DIVIN)Nous y sommes allez en esperant manger les meilleurs burger de Paris .pour l'instant Mission accomplis. Nous vous reccomandeons cette adresse sans hesitation , et surtout n'oubliez pas , c'etait 10 20 ( Dix Vingt , di vin , Divin ... ok je sort );sept-20;Il Etait Un Square
1;Excellent !;5.0;Service aussi excellent que le repas ! Salade de chèvre chaud super généreuse et un burger a la sauce cheddar que je commande a tous le monde. Un grand merci pour l'accueil chaleureux qu'on a reçu et la petite discussion tres agréable a la caisse :) Je reviendrai ! Bisous de la petite tahitienne !;sept-20;Il Etait Un Square
1;De l’excellence culinaire;5.0;Après être arrivé en retard d’une heure, j’ai eu une agréable réception de la part du directeur.Le restaurant possède énormément de qualité qui fait tout son charme, les deux que je retiens le plus sont: l’ambiance (très chaleureuse je dirait même très familiale) ainsi que les plats préparés qui sont gustativement un plaisir pour les papilles.Mon réel coup de cœur est le fromage qui est délicatement déposées dans l’hamburgers.J’y reviendrais avec très grand plaisir mais cette fois ci a l’heure!Signé le retardataire;août-20;Il Etait Un Square
1;Simple et efficace;4.0;Un accueil chaleureux, des produits frais, des hamburgers et des tartares aux parfums inhabituels et une viande de qualité.  C'était une première et nous reviendrons.;août-20;Il Etait Un Square
1;Excellent;5.0;Je me suis régalé le burger était Excellent et de très bonne qualité l’accueil était parfait chapeau messieurs;août-20;Il Etait Un Square
1;Très bonne ambiance;5.0;Une agréable surprise, nous voulions des steaks tartare, nous n'avons pas été déçu.  Une équipe agréable et une ambiance familiale. Étant de passage sur Paris, nous n'avons pas été dépaysé, l'équipe est originaire de la même région que nous.;août-20;Il Etait Un Square
1;Burger du mois;5.0;Clairement le meilleur burger que j'ai mangé, je recommende très très fortement. Les bretons parisiens.;août-20;Il Etait Un Square
1;Belle découverte;5.0;Une belle découverte, accueil sympathique et chaleureux !  Le burger Max est excellent, un cheddar crémeux, des piments frais, une viande savoureuse. Foncez !  Le meilleur burger c’est ici !  Au plaisir, les dieppoises;août-20;Il Etait Un Square
1;Bon restaurant de burgers;4.0;Accueil très sympathique pour ce resto de burgers aux avis élogieux. Burgers de qualité, frites maison. Pas notre meilleur restaurant de burger (nous sommes habitués !) mais ça reste un bon établissement.;août-20;Il Etait Un Square
1;Burgers excellents. Tout est;5.0;Burgers excellents. Tout est fait maison et avec des produits de qualités.  Nous recommandons.   Les bretons parisiens;août-20;Il Etait Un Square
1;Burgers parfaits et accueil top;5.0;Un accueil très prévenant et sympathique. Service rapide. Les burgers sont tout simplement délicieux, avec un steak savoureux accompagné d'une bonne sauce au fromage. Mention particulière pour la qualité du pain. Très bonnes frites.C'est la première fois que nous mangeons un burger sans avoir l'impression de manger du gras.Bravo pour la qualité de tous les ingrédients !;août-20;Il Etait Un Square
1;Mieux qu'aux States !;5.0;Des burgers excellents, de qualités supérieures aux meilleurs burgers américains . Ingrédients fins, originaux et trés goûteux . Service sympa et rapide . On reviendra c'est sûr !;août-20;Il Etait Un Square
1;Superbe accueil, super burger;5.0;Superbe accueil, superbe burger, cuisson respectée, fais maison, tout était parfait  Merci au gérant pour ses conseils et sa disponibilité.;août-20;Il Etait Un Square
1;Excellent ! Rien à dire ,;5.0;Excellent ! Rien à dire , tout était parfait de l’accueil au départ ,je conseil vivement et j’y retournerai très vite;août-20;Il Etait Un Square
1;Recommandation +++ du restaurant !!;5.0;Première fois qu’on est arrivé dans ce restaurant et tout était très très bien de l’accueil à l’arrivé des plats. Le gérant était très accueillant ainsi que les employés du début jusqu’à la fin, en nous expliquant bien la carte avec les détails de chaque ingrédients. Je recommande très fortement et le pain du burger n’est pas un pain brioché mais boulanger qui est encore plus léger et super bon !;août-20;Il Etait Un Square
