Commentaire;Sentiment;StemmedComments;LemmatizedComments
burger qualité personnes hamburgers tous accord dire cuisson qualité viande incroyables toujours cas autres restaurants burger tous produits maisons frais ça ressent superbe adresse signé normands;-1;burg qualit person hamburger tous accord dir cuisson qualit viand incroi toujour cas autr restaur burg tous produit maison frais ça ressent superb adress sign normand;burger qualité personne hamburger tout accord dire cuisson qualité viand incroyable toujours cas autre restaurant burger tout produit maison frais cela ressent superbe adresse signer normand
attirés avis plus positifs venus soir accueil sympathique service rapide burgers bon rien exceptionnel ça manquait goût assez cheddar burger entre;-1;attir avis plus posit venus soir accueil sympath servic rapid burger bon rien exceptionnel ça manqu goût assez cheddar burg entre;attiré avir plus positif venir soir accueil sympathique service rapide burger bon rien exceptionnel cela manquer goût assez cheddar burger entre
délicieux agréable moment passé restaurant très bel accueil burger très bon recommande vivement;-1;délici agréabl moment pass restaur tres bel accueil burg tres bon recommand viv;délicieux agréable moment passer restaurer très bel accueil burger très bon recommande vivement
excellent accueil service rapidité qualité produits servis excellents très bonne adresse;-1;excellent accueil servic rapid qualit produit serv excellent tres bon adress;excellent accueil service rapidité qualité produit servir excellent très bon adresse
coup coeur magnifique découverte régale papilles accueil sympathique demander plus burgers incomparables passage paris sûrs reviendrons lors prochaines escapades capitale arrageois;-1;coup coeur magnif découvert régal papill accueil sympath demand plus burger incompar passag paris sûr reviendron lor prochain escapad capital arrageois;coup coeur magnifique découverte régale papille accueil sympathique demander plus burger incomparable passager paris sûr revenir lors prochain escapade capital arrageois
cathédrale burgers paris très bons burgers quartier plutôt calme agréable service rapide sans réservation semaine serveurs très sympathiques;-1;cathédral burger paris tres bon burger quarti plutôt calm agréabl servic rapid san réserv semain serveur tres sympath;cathédral burger paris très bon burger quartier plutôt calme agréable service rapide sans réservation semaine serveur très sympathique
excellent arrivée sans réserver très bien accueilli patron bien détaillé spécialités font pris burgers très bon ketchup français excellent autant maillonaise maison apéritif boissons dessert moins euros très bonne ambiance reviendrons bonne continuation part sud;-1;excellent arriv san réserv tres bien accueil patron bien détaill spécial font pris burger tres bon ketchup franc excellent aut maillonais maison apérit boisson dessert moin euros tres bon ambianc reviendron bon continu part sud;excellent arrivée sans réserver très bien accueillir patron bien détailler spécialiter faire prendre burger très bon ketchup français exceller autant maillonais maison apéritif boisson desservir moins euro très bon ambiance reviendron bon continuation part sud
square très bon endroit accueil chaleureux conviviale goûter impérativement hamburger mois buns sèche noir saumon avocat goûter aussi tartare saumon tartare gascogne fois gras petite tuerie paris adresse garder;-1;squar tres bon endroit accueil chaleur convivial goût imper hamburg mois bun sech noir saumon avocat goût auss tartar saumon tartar gascogn fois gras petit tuer paris adress gard;square très bon endroit accueil chaleureux convivial goûter impérativement hamburger mois buns sécher noir saumon avocat goûter aussi tartare saumon tartare gascogne fois gras petit tuerie paris adresse garder
bonté divine bonté divine etait divin accueil divinement chaleureux ambiance bonnapartesque laissez parlez chose plus importante burgers ecoutez vais allez quarte chemin tout simplement di vin burger mois etait extra quand burger plus classique etaient tous magique divin allez esperant manger meilleurs burger paris instant mission accomplis reccomandeons cette adresse sans hesitation surtout oubliez etait dix vingt di vin divin ok sort;-1;bont divin bont divin etait divin accueil divin chaleur ambianc bonnapartesqu laiss parl chos plus import burger ecout vais allez quart chemin tout simpl di vin burg mois etait extra quand burg plus classiqu etaient tous magiqu divin allez esper mang meilleur burg paris instant mission accompl reccomandeon cet adress san hesit surtout oubl etait dix vingt di vin divin ok sort;bonté divine bonté divine eter divin accueil divinement chaleureux ambiance bonnapartesqu laissez parler chose plus important burgers ecoutez vais allez quart chemin tout simplement di vin burger mois eter extrer quand burger plus classique etaient tout magique divin aller esperer manger meilleur burger paris inster mission accomplis reccomandeon ce adresse sans hesitation surtout oublier eter dix vingt di vin divin ok sort
excellent service aussi excellent repas salade chèvre chaud super généreuse burger sauce cheddar commande tous monde grand merci accueil chaleureux reçu petite discussion tres agréable caisse reviendrai bisous petite tahitienne;-1;excellent servic auss excellent rep salad chevr chaud sup géner burg sauc cheddar command tous mond grand merc accueil chaleur reçu petit discuss tre agréabl caiss reviendr bisous petit tahitien;excellent service aussi excellent repas salad chèvre chaud super généreux burger sauc cheddar commande tout mond grand merci accueil chaleureux recevoir petit discussion tre agréable caisse revenir bisous petit tahitien
